,City,region,Res_Comm,mkt_type,Quradate,National_exp,Alabama_exp,Sales_exp,Inventory_exp,Price_exp,Credit_exp
7396,Sylacauga,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,4.0,2.0,3.0,3.0
11990,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,2.0,3.0,3.0,2.0,4.0
5571,Brent,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,2.0,2.0,2.0,3.0,2.0,3.0
528,gulf shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,2.0,4.0,4.0,2.0,2.0,2.0
536,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,2.0,2.0,3.0,4.0,4.0
11979,Pike Road,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,2.0,3.0,3.0,2.0,2.0,3.0
3833,Gardendale,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,4.0,4.0,3.0,2.0,2.0,2.0
1258,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,3.0,3.0,4.0,3.0,2.0,3.0
7375,Pelham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,1.0,2.0,1.0
6411,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,2.0,2.0
1934,Chelsea,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,4.0,3.0,3.0
939,Enterprise,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,2.0,3.0,2.0,2.0,2.0,2.0
5556,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,2.0,2.0,3.0
1249,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,4.0,2.0,3.0
13790,Madison,North_Huntsville-Decatur-Florence,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
1268,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,4.0,4.0,4.0,4.0,4.0,4.0
6399,Wilsonville,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,3.0,3.0,2.0,3.0,2.0,2.0
7369,Mobile,South_Mobile-Baldwin,Residential,Rural,2011-07-15,3.0,4.0,4.0,3.0,3.0,3.0
544,Gadsden,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,1.0,2.0,1.0,1.0,1.0,2.0
1271,Gadsden,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,4.0,3.0,3.0,3.0,3.0
9655,tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,4.0,3.0,3.0,3.0,3.0
5537,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,4.0,3.0,2.0,3.0
6425,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,2.0
13624,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,4.0,3.0,3.0,3.0
5502,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
10236,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,2.0,2.0,2.0,3.0,2.0,3.0
3923,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
11329,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,3.0,4.0,4.0,3.0,2.0
10691,Moody,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,2.0,2.0,2.0,3.0,2.0,2.0
919,Northport,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,2.0,3.0,3.0,2.0,2.0,2.0
4817,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,3.0,3.0,4.0,4.0,4.0,4.0
